age,muscle_mass,body_fat,percentage,height,weight,
35,36.6,18,22.1,169.1,81.6,
29,35.1,20.8,25.4,174.2,82.1,
25,32.7,15.3,21,173.9,72.8,
39,38.6,14.7,17.9,170.2,81.8,
36,26.3,13.8,22.9,161.7,60.4,
31,28.9,16.4,24.1,172.5,67.9,
37,27.6,11.8,19.3,164.2,61.1,
36,37.2,37.1,36.2,173.8,102.5,
35,42.3,29.3,28.7,178.3,102.1,
35,34.2,12.5,17.3,167.8,72.5,
33,30.7,6,10,170.9,60.3,
33,38,17.1,20.5,178,83.7,
24,32,12.2,17.7,168.9,68.8,
34,34.9,30.1,32.9,170.9,91.5,
36,35.6,12.7,16.4,169,75.3,
34,40.8,27.3,27.9,178.4,98.5,
33,36.6,13.7,17.4,173,77.7,
34,31.4,11.2,16.9,175,66.7,
39,30.6,17.7,24.4,166.4,72,
39,31.6,22.6,14.7,169.5,72.2,
34,35.4,12.6,16.9,173.8,74.6,
34,40,13.2,15.8,179.9,82.9,
31,33,8.9,13.2,176.7,67.2,
31,35.1,21.5,25.8,173.7,83.3,
39,32.1,20.6,12.4,171.7,71.1,
30,33.9,16.5,21.2,172.5,76.2,
31,30.3,12.4,18.9,169,66.4,
31,30.7,15.1,21.9,168.8,69.5,
37,27.1,12.7,20.5,170.4,61.4,
30,39.2,15.5,18.1,172.9,83.8,
33,39.3,12.7,15.3,172.3,81.1,
31,30.6,13.2,19.3,168.9,67.5,
32,34.8,14.3,18.9,174.7,75.6,
37,34.1,13.8,18.6,174.7,74.3,
38,30.2,12.9,17.6,171.6,66.6,
39,33.5,16.2,21.1,170.7,75.5,
36,32.9,15.3,20.1,170.4,73.2,
38,33.1,23,27.3,166.2,81.3,
31,34,14.6,19.5,174.8,74.4,
38,31.9,12.6,21.7,172.1,72.5,
34,35.7,11.9,15.7,176,74.3,
38,30.2,49.2,25.6,167.6,72.6,
45,32.7,19.8,25.6,168.4,77.3,
19,38.2,12.6,15.9,181.1,79.3,
20,35.5,16.3,20.7,177.9,79,
19,31.5,9.3,14.3,167.5,64.9,
19,25.6,13.6,22.6,167.5,60,
19,30.7,10.5,16,177.5,65.3,
24,16.1,15.2,,160,46.3,
21,20,23.8,,157.8,61.2,
25,22.5,9.6,,165.5,49,
59,19.6,21.9,,152.3,58.6,
25,20.2,12.7,,160,50.4,
21,18.9,14.3,,149.7,49.3,
21,26.1,36,,161.6,83,
21,27.3,24.8,,166,73.9,
32,21.6,9.6,,164.7,49.5,
25,19.5,14,28,158.1,50.2,
18,22.4,16.7,29.3,159.5,57.2,
19,21.2,20.7,34.1,159,60,
62,22.7,18.8,31,161.1,60.6,
19,19.6,15,28.9,154.4,51.4,
61,17.6,16.5,33.3,144.5,49.6,
22,29.5,57.5,52.2,159.5,110.1,
19,22.2,17.4,30.4,161.4,57.6,
21,24.7,19.4,30.2,160.6,64.4,
22,21.9,16,28.4,161.3,56.4,
19,19.3,17.3,31.8,156,53.5,
22,20.3,21.6,36.3,166.5,59.7,
40,21.4,20.4,34.3,162.2,59.6,
19,18.5,15.4,30.5,160.6,50.3,
19,18.8,14.3,29,155.7,49.5,
44,22.8,25.6,38,158.5,67.3,
19,20.3,18.2,32,158.2,56.1,
18,19.1,12.3,25.7,160.6,48.1,
19,23.8,23.5,35.1,165.8,67.2,
17,23.7,14.4,24.9,166.5,57.7,
21,22.2,27.2,39.9,167.5,68.1,
21,18.9,12.6,28.2,153.2,48.1,
19,22.8,24.2,35.6,160.4,66.3,
23,22.3,27.3,39.8,161.9,68.6,
19,19.7,19,33.2,157.3,55.8,
19,21.5,23.5,37,162.3,63.4,
19,19.6,16.1,30.6,155.3,52.6,
19,20.3,21.5,34.5,154,59.4,
19,23.6,29.3,40.3,166,72.6,
21,16.9,12.6,28,158,44.9,
19,19.2,25.3,41.5,153.6,61,
22,19.7,19.3,34.6,156.7,55.7,
23,19.1,17.2,32.5,161.7,52.9,
24,22.5,12.4,23,164.2,54,
22,21.7,26.1,39.4,162.4,66.1,
20,24.9,20.9,31.5,168.2,66.4,
27,34.3,49.6,44.9,169.1,110.4,
20,18.9,18.2,34.1,164.5,53.5,
20,22.6,20.8,33.3,163.3,62.6,
20,23.7,19.8,31.2,172,63.3,
21,25.4,46,50.1,161.5,91.8,
19,26.8,21.9,31.1,167.8,70.5,
19,19,21.8,37.9,157.2,57.6,
19,19.3,27.4,43.1,156.6,63.6,
19,19.8,21.2,36.5,156.4,58.1,
20,18.6,11.6,25,155.9,46.4,
20,19.8,22.3,37.7,155.8,59.2,
22,22,19.5,32.4,165.9,60.2,
20,21.6,18.2,31.6,154,57.7,
20,17.4,11.7,26.4,154.9,44.4,
48,17.4,11.9,26.6,145.4,44.8,
55,25.6,21.6,31.9,154.4,67.6,
17,20.4,19.3,34,161.3,56.9,
18,19,15,29.7,157.6,50.6,
18,21.5,19.9,33.3,164.4,59.6,
18,21.4,20.3,34,160.3,59.8,
19,20,13.1,26.3,153.1,49.9,
18,25.5,29.8,39.1,163.5,76.2,
18,21,18.3,32,163.8,57.2,
19,21.9,23.8,37.1,155.3,64.1,
18,16.4,12.5,28.5,153.1,43.8,
18,19,18.5,34.5,148.6,53.6,
17,22.7,26.8,39,169.4,68.7,
17,20.3,11,22.6,162.4,48.8,
16,20.7,20.2,34,159.3,58.6,
17,19.1,13.8,28,160.5,49.4,
16,19.4,17.9,31.8,157.2,54.2,
16,21.8,23.2,36.5,164.2,63.5,
17,19.4,13.5,27.2,158,49.8,
17,20.5,12.5,24.7,160.3,50.6,
16,20.9,14.1,26.6,162.1,53,
17,20.7,13.3,25.6,163.9,51.8,
17,18.9,17.9,33.6,157.2,53.3,
17,22.3,28.4,41,158.1,69.3,
18,18.8,22.1,38.4,160.3,57.4,
18,17.9,11.2,24.9,153.1,45,
18,18.3,23,40,156.6,57.5,
16,22.2,23.8,36.8,162,64.7,
16,23.8,18.6,30,167,62,
16,21.4,17.5,30.3,159.1,57,
16,19,15.9,31,161,51.5,
16,19,16.7,31.7,159,52.6,
17,21,16.5,29.9,156.2,55.1,
16,26.6,21.3,30.8,166.4,69.2,
16,21,18.4,32.2,156.6,57.1,
16,25.7,10.6,18.5,168.7,57.1,
16,20.5,18.1,31.7,156.8,56.1,
16,21.1,13.5,25.7,164.9,52.6,
16,22.1,17,29.5,161.5,57.6,
16,17.6,22.8,38.9,156.3,55.6,
17,17.9,16.3,32.4,162.5,50.3,
17,18.2,17.9,34.2,160,52.3,
17,17.7,10.8,24.5,155,44.1,
16,20.4,19.7,34,157.1,57.6,
17,20.1,11.7,23.9,157.5,49,
16,23.4,13.5,23.9,165.4,56.4,
16,18.8,13.2,27.3,158.1,48.3,
